dataset,split,ms_representation,mol_representation,SWD
massspecgym,formula_seed2,dreams,moldeberta_base_123m_mtr,0.0014615320666804222
massspecgym,formula_seed3,dreams,moldeberta_base_123m_mtr,0.0015652458556449597
massspecgym,formula_seed4,dreams,moldeberta_base_123m_mtr,0.0015024505096680263
massspecgym,murcko_seed0,dreams,moldeberta_base_123m_mtr,0.0027417221259592377
massspecgym,murcko_seed1,dreams,moldeberta_base_123m_mtr,0.0026953021099720203
massspecgym,murcko_seed2,dreams,moldeberta_base_123m_mtr,0.002411635943939572
massspecgym,murcko_seed3,dreams,moldeberta_base_123m_mtr,0.0026209315180786767
massspecgym,murcko_seed4,dreams,moldeberta_base_123m_mtr,0.002292208758233225
massspecgym,mces_1,dreams,moldeberta_base_123m_mtr,0.004538323178798406
massspecgym,mces_2,dreams,moldeberta_base_123m_mtr,0.004990959248222644
massspecgym,murcko_hist_seed0,dreams,moldeberta_base_123m_mtr,0.006940712997274413
massspecgym,murcko_hist_seed1,dreams,moldeberta_base_123m_mtr,0.007823047569885866
massspecgym,murcko_hist_seed2,dreams,moldeberta_base_123m_mtr,0.0031953373297828745
massspecgym,murcko_hist_seed3,dreams,moldeberta_base_123m_mtr,0.005334031226106688
massspecgym,murcko_hist_seed4,dreams,moldeberta_base_123m_mtr,0.004323251915579041
